heart_rate_bpm,sweat_microsiemens,skin_temp_celsius,grip_force_newton,ecg_signal,rr_interval_ms,qrs_duration_ms,st_deviation_mv,qt_interval_ms,driver_id,timestamp_offset,condition_label
76.2,3.26,33.63,15.25,0.0141,834.21,91.1,-0.044,392.66,1,60,0
76.33,3.25,33.65,15.16,0.0125,836.73,91.89,-0.043,394.58,1,61,0
76.04,3.22,33.66,15.16,0.0107,838.77,90.98,-0.044,393.81,1,62,0
75.95,3.2,33.66,15.23,0.0116,838.56,91.96,-0.04,393.47,1,63,0
75.8,3.19,33.65,15.13,0.0107,842.22,91.63,-0.04,392.95,1,64,0
75.73,3.19,33.64,15.12,0.0111,841.85,91.39,-0.045,394.86,1,65,0
75.79,3.17,33.63,15.12,0.0111,845.59,92.28,-0.048,393.47,1,66,0
75.59,3.15,33.63,15.2,0.0115,844.44,91.38,-0.052,392.39,1,67,0
75.81,3.15,33.63,15.17,0.0124,843.58,92.28,-0.051,393.2,1,68,0
75.48,3.15,33.61,15.26,0.0123,844.1,92.24,-0.046,394.27,1,69,0
75.72,3.14,33.59,15.22,0.0119,846.31,91.73,-0.046,393.06,1,70,0
75.88,3.11,33.59,15.19,0.0131,844.17,91.81,-0.051,394.04,1,71,0
75.6,3.11,33.6,15.23,0.0112,843.07,90.86,-0.053,394.22,1,72,0
75.75,3.1,33.6,15.15,0.0115,844.06,90.96,-0.05,395.64,1,73,0
76.06,3.11,33.62,15.17,0.011,846.63,91.61,-0.045,393.82,1,74,0
75.76,3.11,33.6,15.24,0.0092,845.16,90.8,-0.048,392.59,1,75,0
75.37,3.13,33.59,15.33,0.0072,847.51,89.87,-0.043,393.73,1,76,0
75.14,3.14,33.61,15.3,0.0054,847.23,89.8,-0.039,395.69,1,77,0
75.46,3.11,33.62,15.34,0.0039,850.21,88.98,-0.035,394.94,1,78,0
75.65,3.11,33.62,15.37,0.0032,849.55,89.65,-0.04,396.23,1,79,0
75.62,3.1,33.64,15.38,0.0033,849.76,90.19,-0.04,397.3,1,80,0
75.4,3.12,33.63,15.29,0.0051,851.16,90.12,-0.042,397.4,1,81,0
75.38,3.14,33.62,15.31,0.0071,853.97,90.68,-0.039,396.7,1,82,0
75.65,3.16,33.63,15.38,0.0081,853.38,90.88,-0.044,397.88,1,83,0
75.77,3.16,33.63,15.39,0.0064,857.02,91.46,-0.043,398.2,1,84,0
76.09,3.18,33.64,15.39,0.0062,855.22,90.86,-0.038,397.63,1,85,0
76.19,3.16,33.66,15.48,0.0043,855.0,90.55,-0.042,396.24,1,86,0
76.39,3.17,33.67,15.41,0.0043,851.05,90.67,-0.047,396.98,1,87,0
76.76,3.18,33.66,15.37,0.0058,847.54,90.71,-0.047,398.01,1,88,0
76.64,3.19,33.65,15.44,0.0058,850.58,90.56,-0.049,397.03,1,89,0
76.41,3.19,33.65,15.39,0.0057,852.98,90.75,-0.053,398.46,1,90,0
76.21,3.22,33.66,15.36,0.0056,856.66,90.59,-0.048,400.0,1,91,0
76.04,3.23,33.66,15.43,0.0068,856.89,90.65,-0.048,398.02,1,92,0
76.04,3.23,33.66,15.45,0.0073,855.99,91.29,-0.046,398.38,1,93,0
75.82,3.25,33.67,15.54,0.0069,857.25,91.87,-0.047,398.94,1,94,0
76.03,3.23,33.68,15.54,0.0067,856.01,91.34,-0.047,399.29,1,95,0
75.84,3.26,33.69,15.47,0.0069,852.66,92.03,-0.045,400.45,1,96,0
75.94,3.25,33.69,15.57,0.0081,851.09,91.67,-0.049,401.25,1,97,0
76.04,3.24,33.68,15.58,0.0063,853.06,91.86,-0.048,401.15,1,98,0
75.89,3.23,33.67,15.68,0.0054,852.43,92.67,-0.048,400.92,1,99,0
75.85,3.24,33.66,15.62,0.0054,851.3,91.88,-0.047,400.62,1,100,0
76.11,3.26,33.67,15.62,0.0066,851.57,92.84,-0.049,402.61,1,101,0
76.42,3.23,33.65,15.57,0.0051,848.16,92.07,-0.048,400.64,1,102,0
76.79,3.25,33.63,15.59,0.0047,851.62,91.78,-0.043,401.74,1,103,0
76.48,3.23,33.65,15.51,0.0066,854.43,92.47,-0.041,401.1,1,104,0
76.21,3.23,33.65,15.46,0.0084,855.74,93.03,-0.037,399.35,1,105,0
76.02,3.2,33.64,15.55,0.0072,852.75,92.6,-0.033,401.25,1,106,0
75.83,3.19,33.64,15.5,0.0075,850.77,92.28,-0.03,399.29,1,107,0
76.02,3.21,33.65,15.55,0.0063,854.43,92.63,-0.033,400.18,1,108,0
76.1,3.19,33.65,15.46,0.0074,854.88,92.44,-0.032,401.53,1,109,0
76.02,3.16,33.66,15.45,0.0054,853.18,92.56,-0.034,400.91,1,110,0
75.71,3.18,33.64,15.44,0.0056,855.76,93.19,-0.037,402.28,1,111,0
75.97,3.21,33.64,15.35,0.0046,852.49,93.4,-0.032,401.16,1,112,0
76.29,3.19,33.64,15.44,0.0037,854.39,93.62,-0.036,399.63,1,113,0
75.94,3.21,33.65,15.52,0.0035,857.81,94.54,-0.04,401.54,1,114,0
75.59,3.19,33.65,15.54,0.0025,855.53,95.34,-0.04,400.02,1,115,0
75.99,3.18,33.64,15.46,0.0022,858.39,94.41,-0.042,398.37,1,116,0
75.73,3.15,33.65,15.44,0.0008,859.98,93.82,-0.041,396.75,1,117,0
75.81,3.16,33.65,15.51,0.0015,858.83,93.2,-0.039,396.95,1,118,0
75.9,3.16,33.67,15.54,0.0023,857.99,93.46,-0.042,398.94,1,119,0
75.62,3.13,33.69,15.57,0.0035,860.41,92.82,-0.046,397.91,1,120,0
75.75,3.14,33.69,15.61,0.0023,856.64,92.37,-0.05,398.83,1,121,0
76.04,3.12,33.67,15.68,0.0007,857.43,91.47,-0.048,400.04,1,122,0
75.95,3.11,33.66,15.73,-0.0012,859.77,90.6,-0.045,400.54,1,123,0
76.32,3.11,33.67,15.65,0.0006,860.21,91.4,-0.045,399.46,1,124,0
76.16,3.1,33.67,15.73,-0.0001,858.45,92.09,-0.044,400.85,1,125,0
76.42,3.09,33.67,15.81,-0.0007,858.33,92.19,-0.043,402.35,1,126,0
76.4,3.12,33.66,15.8,-0.0017,860.08,92.65,-0.045,400.57,1,127,0
76.15,3.11,33.65,15.79,-0.0027,856.27,92.47,-0.048,400.17,1,128,0
75.84,3.12,33.65,15.75,-0.0023,853.53,92.19,-0.044,399.52,1,129,0
75.93,3.11,33.63,15.75,-0.0013,856.51,93.05,-0.047,400.65,1,130,0
76.27,3.1,33.64,15.85,-0.0014,857.41,92.67,-0.048,399.09,1,131,0
76.17,3.09,33.64,15.88,-0.0002,857.71,93.11,-0.046,399.72,1,132,0
76.09,3.09,33.64,15.93,-0.0019,854.41,92.29,-0.047,399.99,1,133,0
75.96,3.08,33.63,15.98,-0.0018,851.87,92.84,-0.044,399.17,1,134,0
76.28,3.06,33.64,16.01,-0.0005,853.49,92.42,-0.043,400.78,1,135,0
76.08,3.04,33.63,15.91,0.0011,850.53,92.26,-0.047,401.24,1,136,0
75.77,3.07,33.63,15.89,0.0008,848.53,91.62,-0.046,401.32,1,137,0
75.8,3.08,33.62,15.8,-0.0007,846.9,90.67,-0.041,399.74,1,138,0
75.68,3.08,33.6,15.76,0.0004,844.27,91.4,-0.043,400.18,1,139,0
75.65,3.05,33.61,15.71,0.0001,847.96,92.14,-0.039,399.63,1,140,0
75.82,3.04,33.6,15.61,0.001,848.98,93.04,-0.036,400.06,1,141,0
75.99,3.05,33.62,15.55,0.0025,850.42,92.83,-0.041,400.36,1,142,0
75.87,3.07,33.6,15.55,0.0024,850.3,93.12,-0.041,398.53,1,143,0
75.52,3.07,33.6,15.48,0.002,846.39,93.0,-0.046,397.61,1,144,0
75.76,3.06,33.61,15.42,0.002,845.49,92.54,-0.047,397.65,1,145,0
75.37,3.06,33.63,15.48,0.001,845.45,92.12,-0.049,398.0,1,146,0
75.11,3.05,33.63,15.45,0.0023,846.99,91.79,-0.05,398.39,1,147,0
75.38,3.07,33.63,15.5,0.0029,844.82,91.91,-0.055,399.45,1,148,0
75.14,3.09,33.64,15.46,0.0029,841.95,91.0,-0.053,400.05,1,149,0
74.87,3.07,33.65,15.52,0.0039,844.58,91.43,-0.053,399.0,1,150,0
74.69,3.06,33.64,15.61,0.0028,844.66,90.64,-0.056,400.37,1,151,0
74.68,3.03,33.66,15.6,0.0044,845.97,90.02,-0.06,401.77,1,152,0
74.79,3.02,33.67,15.56,0.0041,845.79,89.33,-0.058,402.06,1,153,0
74.77,3.0,33.66,15.64,0.0022,848.31,88.66,-0.059,402.29,1,154,0
74.75,2.97,33.64,15.55,0.0033,849.68,87.92,-0.062,403.14,1,155,0
74.61,3.0,33.66,15.51,0.0032,850.97,87.25,-0.065,404.29,1,156,0
74.59,3.02,33.66,15.5,0.0035,850.43,86.69,-0.069,402.33,1,157,0
74.71,3.05,33.65,15.54,0.0021,848.76,85.87,-0.072,401.78,1,158,0
74.62,3.06,33.66,15.64,0.0038,846.65,86.4,-0.076,401.82,1,159,0
74.62,3.08,33.67,15.61,0.0032,846.15,86.67,-0.075,402.89,1,160,0
74.95,3.1,33.66,15.51,0.0013,845.96,87.24,-0.076,403.05,1,161,0
74.77,3.08,33.65,15.53,0.0022,843.79,86.44,-0.08,402.57,1,162,0
75.16,3.06,33.67,15.56,0.004,841.73,87.3,-0.078,403.45,1,163,0
75.37,3.08,33.66,15.51,0.005,837.81,87.33,-0.077,403.74,1,164,0
74.99,3.07,33.66,15.57,0.0037,840.48,88.17,-0.076,405.6,1,165,0
75.17,3.08,33.67,15.65,0.0045,839.3,87.59,-0.074,403.9,1,166,0
74.86,3.05,33.68,15.7,0.0027,837.83,87.34,-0.07,404.81,1,167,0
74.88,3.03,33.68,15.74,0.0043,839.27,88.33,-0.068,404.2,1,168,0
74.63,3.03,33.67,15.83,0.0058,841.94,88.54,-0.07,404.19,1,169,0
74.71,3.0,33.65,15.76,0.0069,839.42,87.99,-0.067,404.61,1,170,0
74.45,3.0,33.67,15.71,0.0079,836.04,87.58,-0.069,404.8,1,171,0
74.82,3.02,33.66,15.67,0.0091,836.56,86.74,-0.067,404.68,1,172,0
75.12,3.02,33.64,15.74,0.0073,834.9,87.15,-0.069,405.68,1,173,0
75.08,3.04,33.63,15.75,0.0083,832.54,86.33,-0.069,404.66,1,174,0
75.45,3.05,33.65,15.65,0.0089,834.84,86.34,-0.07,405.42,1,175,0
75.43,3.06,33.67,15.73,0.0089,837.62,87.23,-0.072,403.66,1,176,0
75.17,3.04,33.67,15.78,0.0087,834.52,86.99,-0.075,404.77,1,177,0
75.49,3.03,33.66,15.86,0.0092,836.35,87.44,-0.07,404.77,1,178,0
75.78,3.04,33.68,15.83,0.0108,834.26,86.6,-0.075,405.93,1,179,0
75.53,3.04,33.7,15.82,0.0122,835.4,85.85,-0.074,405.72,1,180,0
75.34,3.06,33.71,15.86,0.0121,838.95,85.45,-0.072,407.08,1,181,0
75.2,3.07,33.71,15.85,0.0111,839.64,85.07,-0.068,407.46,1,182,0
74.97,3.07,33.72,15.91,0.0102,837.24,84.25,-0.071,408.33,1,183,0
75.12,3.05,33.73,15.91,0.0086,837.15,83.46,-0.068,406.53,1,184,0
75.04,3.05,33.73,16.01,0.01,838.23,83.9,-0.069,407.78,1,185,0
75.15,3.07,33.73,15.94,0.0099,837.38,84.54,-0.068,406.05,1,186,0
75.02,3.05,33.75,15.96,0.0087,834.76,84.94,-0.069,406.13,1,187,0
74.72,3.07,33.74,16.05,0.0077,831.99,84.38,-0.068,406.37,1,188,0
74.43,3.07,33.73,15.97,0.0084,830.1,84.55,-0.063,405.66,1,189,0
74.47,3.08,33.73,15.98,0.0096,826.17,85.19,-0.063,403.89,1,190,0
74.6,3.05,33.75,16.03,0.0092,826.03,85.76,-0.061,402.96,1,191,0
74.73,3.08,33.76,15.93,0.0083,827.07,85.55,-0.063,402.54,1,192,0
74.57,3.06,33.75,16.02,0.0073,826.46,84.99,-0.067,400.84,1,193,0
74.31,3.04,33.73,16.02,0.0065,826.12,85.57,-0.065,402.51,1,194,0
73.93,3.06,33.74,16.1,0.0063,822.17,86.0,-0.069,404.48,1,195,0
74.04,3.06,33.75,16.19,0.0074,823.57,86.12,-0.073,405.4,1,196,0
73.72,3.06,33.75,16.29,0.0088,825.95,86.2,-0.069,407.3,1,197,0
73.76,3.06,33.75,16.27,0.0075,825.88,85.37,-0.072,405.9,1,198,0
74.13,3.04,33.73,16.21,0.0058,828.17,85.98,-0.071,407.31,1,199,0
74.07,3.05,33.73,16.24,0.0065,825.48,85.64,-0.069,406.7,1,200,0
74.35,3.03,33.71,16.31,0.0053,823.45,86.5,-0.069,406.08,1,201,0
74.54,3.02,33.71,16.26,0.0048,822.26,86.24,-0.066,407.14,1,202,0
74.36,2.99,33.72,16.18,0.0053,824.31,86.8,-0.066,405.43,1,203,0
74.36,2.99,33.72,16.27,0.0044,822.09,86.6,-0.062,406.92,1,204,0
74.76,2.98,33.73,16.24,0.0049,825.59,87.3,-0.062,408.45,1,205,0
74.83,2.97,33.74,16.15,0.0029,824.86,87.34,-0.06,408.24,1,206,0
75.04,2.95,33.72,16.07,0.0021,823.08,86.86,-0.057,406.56,1,207,0
74.79,2.95,33.71,15.99,0.0026,821.4,86.24,-0.061,405.99,1,208,0
75.07,2.97,33.72,16.04,0.0018,818.82,85.49,-0.058,404.25,1,209,0
75.34,2.95,33.7,16.01,0.0011,820.86,85.77,-0.06,403.8,1,210,0
75.18,2.95,33.72,16.01,0.0018,822.83,85.23,-0.062,402.72,1,211,0
75.11,2.94,33.72,16.09,0.0015,819.74,84.47,-0.059,403.6,1,212,0
74.72,2.96,33.73,16.05,0.0031,817.47,84.48,-0.063,403.9,1,213,0
74.74,2.93,33.72,16.12,0.0023,814.27,83.56,-0.061,405.41,1,214,0
74.86,2.92,33.73,16.05,0.0006,811.75,83.23,-0.064,406.2,1,215,0
74.94,2.9,33.75,15.97,-0.0007,808.58,83.02,-0.061,404.36,1,216,0
74.75,2.92,33.76,16.0,-0.0002,809.6,82.9,-0.059,406.15,1,217,0
74.57,2.93,33.77,15.92,-0.0005,808.06,83.41,-0.054,405.92,1,218,0
74.3,2.92,33.76,15.96,-0.0022,805.56,84.36,-0.059,406.18,1,219,0
74.49,2.9,33.75,15.92,-0.0033,808.6,85.12,-0.059,404.49,1,220,0
74.25,2.9,33.74,16.01,-0.0026,807.72,84.58,-0.059,403.08,1,221,0
73.87,2.92,33.75,16.0,-0.001,810.02,85.44,-0.062,404.35,1,222,0
73.59,2.9,33.73,15.93,0.0004,807.58,85.97,-0.064,406.17,1,223,0
73.22,2.9,33.73,15.85,0.0003,810.1,86.17,-0.06,406.51,1,224,0
73.53,2.91,33.73,15.8,0.0014,813.56,85.8,-0.064,404.71,1,225,0
73.15,2.89,33.72,15.76,0.0029,815.68,85.14,-0.061,405.35,1,226,0
73.25,2.86,33.72,15.66,0.0009,819.53,85.42,-0.063,406.79,1,227,0
73.54,2.86,33.74,15.76,-0.0008,820.41,84.96,-0.066,405.31,1,228,0
73.35,2.83,33.75,15.82,-0.0008,822.34,84.34,-0.062,406.99,1,229,0
73.41,2.82,33.73,15.8,-0.0022,824.27,85.22,-0.063,408.4,1,230,0
73.11,2.83,33.74,15.75,-0.0016,822.81,85.99,-0.067,408.44,1,231,0
72.81,2.81,33.76,15.8,-0.0035,821.38,86.91,-0.065,410.17,1,232,0
72.48,2.79,33.74,15.75,-0.003,824.71,87.4,-0.061,411.75,1,233,0
72.53,2.79,33.73,15.7,-0.0016,828.04,87.59,-0.058,411.56,1,234,0
72.58,2.81,33.72,15.77,-0.0024,830.4,87.08,-0.057,410.43,1,235,0
72.34,2.78,33.71,15.86,-0.0022,830.89,87.46,-0.061,411.98,1,236,0
71.97,2.8,33.7,15.96,-0.0014,830.99,86.67,-0.064,410.09,1,237,0
71.97,2.79,33.68,16.01,-0.0018,827.63,85.86,-0.063,411.74,1,238,0
72.26,2.77,33.7,15.97,-0.0002,830.44,85.65,-0.058,413.07,1,239,0
72.52,2.74,33.71,15.99,-0.0011,829.62,86.37,-0.056,411.58,1,240,0
72.3,2.72,33.72,15.91,0.0008,829.73,86.11,-0.06,412.61,1,241,0
72.49,2.69,33.73,15.93,-0.0009,827.13,86.34,-0.056,414.01,1,242,0
72.25,2.7,33.72,15.96,-0.0007,830.18,86.85,-0.059,412.17,1,243,0
72.3,2.73,33.73,15.91,0.0011,833.47,87.52,-0.062,412.27,1,244,0
72.3,2.73,33.74,15.92,0.0001,832.45,86.71,-0.063,411.9,1,245,0
72.66,2.7,33.74,15.86,-0.0002,829.06,87.27,-0.063,411.06,1,246,0
72.57,2.69,33.74,15.88,-0.0018,827.79,87.74,-0.068,410.05,1,247,0
72.32,2.71,33.74,15.82,-0.0024,824.28,86.97,-0.065,410.76,1,248,0
72.35,2.7,33.75,15.75,-0.0011,820.82,87.06,-0.07,409.66,1,249,0
72.56,2.68,33.75,15.84,-0.0018,816.83,87.45,-0.072,409.14,1,250,0
72.85,2.69,33.73,15.89,-0.0031,819.11,86.49,-0.069,409.7,1,251,0
72.49,2.71,33.75,15.91,-0.0023,821.81,86.29,-0.069,411.46,1,252,0
72.66,2.74,33.74,15.98,-0.0039,818.4,86.18,-0.065,409.67,1,253,0
72.96,2.75,33.75,15.92,-0.0042,815.0,86.15,-0.063,408.93,1,254,0
73.25,2.74,33.76,15.88,-0.0047,817.38,86.64,-0.061,408.91,1,255,0
73.17,2.73,33.77,15.95,-0.0029,817.69,86.08,-0.059,409.53,1,256,0
73.19,2.75,33.78,15.98,-0.0026,820.34,85.91,-0.058,410.35,1,257,0
73.59,2.77,33.8,15.98,-0.0043,821.5,85.53,-0.059,409.7,1,258,0
73.26,2.8,33.8,15.94,-0.0058,817.83,85.0,-0.056,409.42,1,259,0
73.37,2.78,33.8,16.03,-0.005,814.63,84.84,-0.054,409.42,1,260,0
73.73,2.8,33.8,16.01,-0.0038,812.7,84.31,-0.049,409.41,1,261,0
73.79,2.82,33.81,15.93,-0.0037,811.39,85.05,-0.052,409.04,1,262,0
74.18,2.83,33.79,15.89,-0.0019,811.47,85.29,-0.049,407.93,1,263,0
74.06,2.8,33.79,15.89,-0.0011,812.65,85.83,-0.046,408.63,1,264,0
73.87,2.8,33.79,15.99,-0.002,811.35,86.25,-0.043,409.03,1,265,0
73.51,2.79,33.8,16.03,-0.0015,812.72,85.49,-0.039,410.88,1,266,0
73.46,2.76,33.81,15.96,-0.0034,808.73,84.67,-0.042,409.1,1,267,0
73.34,2.78,33.81,16.0,-0.0053,809.7,84.8,-0.038,408.08,1,268,0
73.23,2.8,33.81,16.06,-0.0068,808.35,85.08,-0.035,409.26,1,269,0
73.14,2.77,33.81,16.09,-0.0049,806.08,85.35,-0.037,408.22,1,270,0
72.94,2.77,33.81,16.11,-0.0029,803.9,85.66,-0.039,410.03,1,271,0
72.65,2.77,33.83,16.2,-0.0026,806.69,86.49,-0.04,410.44,1,272,0
72.37,2.8,33.84,16.28,-0.0024,807.93,85.54,-0.045,408.88,1,273,0
72.3,2.78,33.86,16.25,-0.0036,809.97,86.43,-0.048,409.71,1,274,0
72.32,2.78,33.86,16.28,-0.0024,812.67,85.51,-0.051,410.88,1,275,0
71.94,2.78,33.85,16.33,-0.0026,816.34,84.98,-0.051,409.81,1,276,0
72.14,2.78,33.85,16.39,-0.0037,819.53,84.06,-0.053,409.15,1,277,0
72.51,2.79,33.86,16.47,-0.0052,822.55,83.3,-0.051,407.98,1,278,0
72.55,2.81,33.84,16.52,-0.0066,818.88,84.0,-0.046,406.64,1,279,0
72.2,2.82,33.83,16.57,-0.0063,819.19,83.64,-0.045,407.74,1,280,0
72.18,2.81,33.82,16.55,-0.0044,821.75,84.58,-0.041,406.57,1,281,0
71.9,2.82,33.83,16.5,-0.0063,823.28,84.59,-0.036,407.85,1,282,0
72.02,2.79,33.82,16.45,-0.0079,823.72,84.76,-0.039,406.05,1,283,0
72.34,2.76,33.84,16.5,-0.0084,823.44,85.34,-0.035,404.76,1,284,0
72.12,2.76,33.82,16.45,-0.0074,823.73,84.47,-0.039,404.29,1,285,0
72.06,2.76,33.82,16.43,-0.0062,824.31,83.86,-0.036,405.07,1,286,0
71.67,2.74,33.81,16.36,-0.0082,825.58,83.65,-0.037,406.27,1,287,0
71.77,2.76,33.79,16.37,-0.0068,822.48,83.72,-0.033,406.18,1,288,0
71.47,2.75,33.8,16.39,-0.0057,826.19,83.68,-0.035,405.93,1,289,0
71.78,2.73,33.78,16.3,-0.0077,827.65,83.26,-0.033,405.78,1,290,0
71.82,2.76,33.77,16.32,-0.0068,828.95,82.5,-0.029,404.12,1,291,0
71.78,2.75,33.76,16.25,-0.0058,825.05,82.37,-0.029,405.79,1,292,0
72.07,2.74,33.76,16.32,-0.0042,826.26,83.11,-0.025,405.16,1,293,0
72.09,2.72,33.76,16.39,-0.0023,824.13,82.78,-0.026,404.84,1,294,0
71.9,2.74,33.77,16.38,-0.0024,826.14,82.94,-0.022,403.82,1,295,0
72.05,2.73,33.77,16.35,-0.004,829.34,82.03,-0.025,404.28,1,296,0
72.09,2.72,33.76,16.32,-0.0028,830.96,81.35,-0.027,405.54,1,297,0
72.29,2.69,33.75,16.32,-0.0019,833.69,80.7,-0.023,403.85,1,298,0
72.07,2.67,33.76,16.25,-0.0014,834.23,79.74,-0.023,402.19,1,299,0
71.82,2.67,33.78,16.3,-0.0027,832.1,79.92,-0.02,403.14,1,300,0
71.96,2.66,33.78,16.28,-0.0037,833.84,78.96,-0.019,405.07,1,301,0
72.04,2.65,33.77,16.35,-0.0034,830.97,78.51,-0.018,406.58,1,302,0
72.03,2.65,33.76,16.28,-0.0052,833.34,78.89,-0.014,408.09,1,303,0
71.87,2.65,33.75,16.38,-0.0043,836.77,78.21,-0.012,408.01,1,304,0
71.49,2.64,33.76,16.3,-0.0044,833.96,78.27,-0.011,406.71,1,305,0
71.75,2.66,33.77,16.22,-0.0026,831.46,79.11,-0.006,407.43,1,306,0
71.79,2.65,33.76,16.21,-0.0018,829.88,78.73,-0.01,405.73,1,307,0
71.62,2.65,33.74,16.28,-0.0021,831.71,77.76,-0.007,405.21,1,308,0
71.56,2.64,33.72,16.32,-0.0024,835.01,76.87,-0.003,406.75,1,309,0
71.94,2.66,33.73,16.35,-0.0027,834.14,76.01,-0.005,407.97,1,310,0
72.2,2.65,33.74,16.4,-0.0011,836.54,75.49,-0.002,408.8,1,311,0
